TestID,RunGroup,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,GeometryMode,ATRPeriod,ATRTimeframe,InitialMultiplier,ATRBigStartMultiplier,ATRStepMultiplier,ATRFarMultiplier,MaxHarvestLevels,FullCycleCompleted,LevelsUsed,TotalPositionsOpened,TotalPositionsClosed,RecoveryPL,ReserveCoverage,TotalClosedFarLot,RemainingFarLot,MaxFarLot,MaxBigLot,MaxSmallLot,MaxOpenPositions,FinalState,StopReason,Score,Rank
48,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,100,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,3,8,11,0.40180833,1.005955,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-252505.3864167,73
49,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,100,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,3,8,11,0.40180833,1.005955,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-252505.3864167,74
50,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,200,100,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,3,8,11,0.40180833,1.005955,0.75,0.25,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-252505.3864167,75
51,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,40,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,30.20301816,1.65827004,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358142.1428144,233
52,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,40,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,30.20301816,1.65827004,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358142.1428144,234
53,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,40,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,30.20301816,1.65827004,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358142.1428144,235
54,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,40,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,30.20301816,1.65827004,0.83,0.17,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-358142.1428144,236
55,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,60,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,4,10,14,44.47551934,2.26759448,0.87,0.13,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-355938.4853586,181
56,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,60,220,0,14,0,1.0,1.0,0.4,1.3,12,YES,4,10,14,44.47551934,2.26759448,0.87,0.13,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-355938.4853586,182
57,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,60,275,0,14,0,1.0,1.0,0.4,1.3,16,YES,4,10,14,44.47551934,2.26759448,0.87,0.13,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-355938.4853586,183
58,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,60,350,0,14,0,1.0,1.0,0.4,1.3,20,YES,4,10,14,44.47551934,2.26759448,0.87,0.13,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-355938.4853586,184
59,FIRST_ROUND_50_PLUS,1.0,1.1,0.25,0.4,0.6,0.75,0.25,0.05,190,240,80,180,0,14,0,1.0,1.0,0.4,1.3,8,YES,3,8,11,8.21708999,1.13237101,0.77,0.23,1.0,1.1,0.28,3,STATE_CLOSED_PROFIT,FINAL_CLOSE_RESERVE_COVERS_FAR,-251414.5919991,64
