RunID,Category,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,MaxHarvestLevels,MaxReverseCycles,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,RecoveryPL_Mean,RecoveryPL_Min,RecoveryPL_Max,MaxDD_Mean,MaxDD_Max,MaxMarginUsed,StopMaxLevelsCount,ClosedProfitCount,ClosedRecoveryLossCount,CompressionRatio,NewBigToOldFarRatio,Score,Verdict
5653,CANDIDATE,0.05,1.1,0.35,0.4,0.6,0.3,0.7,0.05,150,150,75,300,10,3,80,70,15,-9.67,-12.83,0.65,11.21,13.44,140.0,0,1,6,1.0,1.0,-3141.575,REJECTED_RECOVERY_LOSS
14181,CANDIDATE,0.1,1.25,0.15,0.5,0.5,0.2,0.8,0.0,70,200,50,300,6,3,30,60,25,-4.87,-24.49,17.17,15.27,24.49,240.0,1,2,5,0.75,1.0,-3141.635,REJECTED_STOP_MAX_LEVELS
6623,CANDIDATE,0.05,1.2,0.3,0.4,0.6,0.2,0.8,0.03,150,100,100,200,9,3,80,50,25,-12.04,-19.11,4.42,13.61,19.11,130.0,0,1,6,1.0,1.0,-3141.795,REJECTED_RECOVERY_LOSS
8773,CANDIDATE,0.05,1.18,0.2,0.45,0.55,0.2,0.8,0.1,100,70,25,100,10,3,60,60,15,-11.87,-15.95,3.51,13.04,15.95,130.0,0,1,6,1.0,1.0,-3141.945,REJECTED_RECOVERY_LOSS
16436,CANDIDATE,0.05,1.18,0.25,0.5,0.5,0.4,0.6,0.1,200,200,75,200,8,3,80,70,15,-11.49,-17.88,1.96,12.06,18.04,130.0,0,1,6,1.0,1.0,-3142.04,REJECTED_RECOVERY_LOSS
17121,CANDIDATE,0.05,1.2,0.25,0.45,0.55,0.4,0.6,0.03,150,200,75,200,10,3,80,70,15,-11.49,-17.88,1.96,12.06,18.04,130.0,0,1,6,1.0,1.0,-3142.04,REJECTED_RECOVERY_LOSS
9043,CANDIDATE,0.1,1.12,0.15,0.3,0.7,0.4,0.6,0.1,200,100,75,100,10,5,30,50,30,-4.17,-21.54,8.25,9.54,21.54,230.0,1,2,5,1.0,1.0,-3142.185,REJECTED_STOP_MAX_LEVELS
9161,CANDIDATE,0.05,1.1,0.25,0.35,0.65,0.2,0.8,0.1,70,150,75,150,8,3,80,50,20,-12.19,-19.27,4.61,13.06,19.27,130.0,0,1,6,1.0,1.0,-3142.225,REJECTED_RECOVERY_LOSS
23447,CANDIDATE,0.1,1.18,0.35,0.45,0.55,0.25,0.75,0.05,200,200,25,200,10,10,30,70,30,-2.2,-7.88,2.42,5.9,10.36,270.0,3,4,3,1.0,1.0,-3142.285,REJECTED_STOP_MAX_LEVELS
19823,CANDIDATE,0.05,1.12,0.15,0.45,0.55,0.3,0.7,0.1,100,200,25,150,10,3,80,50,30,-12.52,-18.04,0.83,13.38,18.04,120.0,0,1,6,1.0,1.0,-3142.37,REJECTED_RECOVERY_LOSS
15238,CANDIDATE,0.1,1.1,0.2,0.3,0.7,0.15,0.85,0.0,150,200,50,200,6,7,30,70,15,-3.82,-26.12,6.81,10.3,21.08,240.0,3,4,3,0.8571,1.0,-3142.46,REJECTED_STOP_MAX_LEVELS
23505,CANDIDATE,0.05,1.18,0.25,0.45,0.55,0.1,0.9,0.1,200,150,100,100,9,3,80,70,20,-12.44,-18.78,5.13,13.38,18.78,130.0,0,1,6,1.0,1.0,-3142.54,REJECTED_RECOVERY_LOSS
18508,CANDIDATE,0.05,1.05,0.2,0.5,0.5,0.15,0.85,0.0,200,70,25,250,10,3,80,70,20,-13.93,-19.79,1.15,15.22,20.02,110.0,0,1,6,1.0,1.0,-3142.585,REJECTED_RECOVERY_LOSS
